"customer_id";"customer_fname";"customer_lname";"customer_segment"
40;"Mary";"Smith";"Consumer"
47;"Lori";"Fuller";"Home Office"
54;"Mary";"Olson";"Home Office"
88;"Mary";"Henry";"Corporate"
122;"Karen";"Smith";"Consumer"
123;"Mary";"Mann";"Corporate"
125;"Mary";"Gallagher";"Consumer"
138;"Mary";"Dawson";"Consumer"
146;"Amber";"Mercado";"Home Office"
150;"Mary";"Smith";"Corporate"
155;"Brittany";"Juarez";"Consumer"
185;"Deborah";"Smith";"Consumer"
210;"Jonathan";"Burns";"Corporate"
223;"Ralph";"Smith";"Home Office"
228;"Jessica";"Clark";"Consumer"
242;"Mary";"Stein";"Corporate"
248;"Christina";"Walsh";"Corporate"
259;"Mary";"Bates";"Consumer"
275;"Robert";"Smith";"Consumer"
288;"Judith";"Smith";"Consumer"
289;"Diana";"Richards";"Corporate"
295;"Julie";"Tanner";"Home Office"
341;"Mary";"Smith";"Consumer"
376;"Grace";"Sanchez";"Home Office"
387;"Mary";"Levy";"Consumer"
394;"David";"Smith";"Consumer"
397;"Mary";"Delgado";"Consumer"
424;"Stephen";"Douglas";"Consumer"
437;"Cynthia";"Benjamin";"Consumer"
467;"James";"Smith";"Consumer"
468;"Mary";"Stone";"Consumer"
474;"Mary";"Patton";"Consumer"
482;"Megan";"Moreno";"Consumer"
487;"Kenneth";"Brown";"Consumer"
489;"William";"Smith";"Corporate"
542;"Mary";"Smith";"Home Office"
548;"Ryan";"Horton";"Consumer"
552;"Mary";"Harper";"Corporate"
569;"Mary";"Frye";"Consumer"
587;"Patrick";"Smith";"Consumer"
614;"Jack";"Benson";"Corporate"
629;"Matthew";"Huffman";"Corporate"
633;"Mary";"Campbell";"Home Office"
639;"Elizabeth";"Pittman";"Home Office"
647;"Mary";"Rios";"Consumer"
650;"Austin";"Sexton";"Home Office"
653;"Jason";"Haas";"Consumer"
695;"Sara";"Smith";"Corporate"
702;"Cynthia";"Smith";"Corporate"
711;"Barbara";"Mccarthy";"Corporate"
712;"Mary";"Ayala";"Consumer"
716;"Louis";"Bishop";"Home Office"
717;"Mary";"Camacho";"Corporate"
724;"Lawrence";"Mclaughlin";"Home Office"
778;"John";"Buckley";"Consumer"
900;"George";"Smith";"Consumer"
967;"Madison";"Smith";"Consumer"
1025;"Megan";"Todd";"Home Office"
1070;"Shawn";"Huffman";"Home Office"
1086;"Mary";"Smith";"Home Office"
1153;"Mary";"Sanford";"Consumer"
1168;"Elizabeth";"Mccann";"Corporate"
1169;"Mary";"Smith";"Corporate"
1171;"Mary";"Smith";"Home Office"
1173;"Mary";"Silva";"Consumer"
1180;"Mary";"Martin";"Corporate"
1182;"Mary";"Smith";"Corporate"
1186;"Mary";"Soto";"Consumer"
1209;"Mary";"Webb";"Consumer"
1219;"Angela";"Freeman";"Corporate"
1222;"Michael";"Garcia";"Consumer"
1240;"Mary";"Warner";"Consumer"
1243;"Joan";"Rosales";"Consumer"
1250;"Teresa";"Smith";"Consumer"
1260;"Kelly";"Calderon";"Consumer"
1263;"Emily";"Gould";"Corporate"
1271;"Carolyn";"Shea";"Corporate"
1273;"Maria";"Evans";"Consumer"
1275;"Amanda";"Smith";"Consumer"
1303;"Mary";"Contreras";"Corporate"
1306;"Zachary";"Taylor";"Consumer"
1325;"Gregory";"Nelson";"Consumer"
1331;"Mary";"Smith";"Corporate"
1339;"Melissa";"Mack";"Consumer"
1342;"Laura";"Savage";"Corporate"
1362;"Dennis";"Smith";"Home Office"
1410;"Mary";"Smith";"Consumer"
1423;"Mary";"Day";"Consumer"
1425;"Christina";"Harvey";"Consumer"
1429;"Pamela";"Murphy";"Home Office"
1443;"Denise";"Cohen";"Consumer"
1445;"Linda";"Ortiz";"Consumer"
1459;"Mary";"Smith";"Consumer"
1473;"Anthony";"Young";"Consumer"
1475;"Mary";"Smith";"Corporate"
1491;"Joyce";"Smith";"Consumer"
1507;"Mary";"Smith";"Consumer"
1509;"Patricia";"Petersen";"Consumer"
1535;"Frank";"Livingston";"Home Office"
1555;"Adam";"Smith";"Consumer"
1566;"Mary";"Simon";"Consumer"
1568;"Mary";"Larson";"Home Office"
1575;"John";"Greene";"Home Office"
1577;"Mary";"Smith";"Home Office"
1596;"John";"Hammond";"Consumer"
1618;"Mary";"Davidson";"Corporate"
1622;"Mary";"Smith";"Consumer"
1627;"Mary";"Gonzales";"Consumer"
1628;"Benjamin";"Smith";"Consumer"
1636;"Julie";"Petersen";"Consumer"
1657;"Betty";"Phillips";"Consumer"
1662;"George";"Smith";"Corporate"
1695;"Amanda";"Marquez";"Corporate"
1718;"Mary";"Smith";"Corporate"
1738;"Nicholas";"Murray";"Consumer"
